article_title,url,country,article_quality,revision_id,region,population
Baran Khan Kudezai,https://en.wikipedia.org/wiki/Baran_Khan_Kudezai,Afghanistan,Start,1176481824,SOUTH ASIA,42.4
Azizullah Lodin,https://en.wikipedia.org/wiki/Azizullah_Lodin,Afghanistan,Start,1247762293,SOUTH ASIA,42.4
Razaq Mamoon,https://en.wikipedia.org/wiki/Razaq_Mamoon,Afghanistan,Start,1227180106,SOUTH ASIA,42.4
Fazel Ahmed Manawi,https://en.wikipedia.org/wiki/Fazel_Ahmed_Manawi,Afghanistan,Start,1234514379,SOUTH ASIA,42.4
Moeen Marastial,https://en.wikipedia.org/wiki/Moeen_Marastial,Afghanistan,Start,1246567093,SOUTH ASIA,42.4
Ahmad Wali Massoud,https://en.wikipedia.org/wiki/Ahmad_Wali_Massoud,Afghanistan,Start,1221720658,SOUTH ASIA,42.4
Mohammad Daud Miraki,https://en.wikipedia.org/wiki/Mohammad_Daud_Miraki,Afghanistan,C,1227103354,SOUTH ASIA,42.4
Abdul Sattar Mirzakwal,https://en.wikipedia.org/wiki/Abdul_Sattar_Mirzakwal,Afghanistan,Stub,1145249317,SOUTH ASIA,42.4
Abdul Karim Misaq,https://en.wikipedia.org/wiki/Abdul_Karim_Misaq,Afghanistan,Stub,1235405154,SOUTH ASIA,42.4
Ali Mohammad (politician),https://en.wikipedia.org/wiki/Ali_Mohammad_(politician),Afghanistan,Stub,1136630194,SOUTH ASIA,42.4
Nasruddin Mohseni,https://en.wikipedia.org/wiki/Nasruddin_Mohseni,Afghanistan,Start,1136630129,SOUTH ASIA,42.4
Davood Moradian,https://en.wikipedia.org/wiki/Davood_Moradian,Afghanistan,Stub,1239319380,SOUTH ASIA,42.4
Zalmai Mujadidi,https://en.wikipedia.org/wiki/Zalmai_Mujadidi,Afghanistan,Start,1223903677,SOUTH ASIA,42.4
Sardar Mohammad Nadir Naeem,https://en.wikipedia.org/wiki/Sardar_Mohammad_Nadir_Naeem,Afghanistan,Stub,1204109653,SOUTH ASIA,42.4
Daoud Naji,https://en.wikipedia.org/wiki/Daoud_Naji,Afghanistan,Start,1247131367,SOUTH ASIA,42.4
Gholam Rabani Nasher,https://en.wikipedia.org/wiki/Gholam_Rabani_Nasher,Afghanistan,Stub,1136534788,SOUTH ASIA,42.4
Ghulam Faroq Nijrabi,https://en.wikipedia.org/wiki/Ghulam_Faroq_Nijrabi,Afghanistan,Stub,1136614778,SOUTH ASIA,42.4
Zabih-U-llah Ghazi Noristani,https://en.wikipedia.org/wiki/Zabih-U-llah_Ghazi_Noristani,Afghanistan,Start,1136614682,SOUTH ASIA,42.4
Mohammed Tahir Omar,https://en.wikipedia.org/wiki/Mohammed_Tahir_Omar,Afghanistan,Stub,1185088733,SOUTH ASIA,42.4
Mohammed Qalamuddin,https://en.wikipedia.org/wiki/Mohammed_Qalamuddin,Afghanistan,Stub,1178097642,SOUTH ASIA,42.4
Ghulam Mohammad Rigi,https://en.wikipedia.org/wiki/Ghulam_Mohammad_Rigi,Afghanistan,Stub,1129192917,SOUTH ASIA,42.4
